Playlist Title,Playlist Url,Video Title,Video Url,Video Views,Video Likes
Colombia - Alan por el mundo,https://www.youtube.com/watch?v=iTeoW6vN-co&list=PLcWg1WeHg9ugdgkDudyxtncyKmPpaFCEY,Bienvenidos a Colombia | Alan por el mundo Colombia #1,https://www.youtube.com/watch?v=iTeoW6vN-co&list=PLcWg1WeHg9ugdgkDudyxtncyKmPpaFCEY&index=1,"2,1 M",49.320
CUBA - Alan por el mundo,https://www.youtube.com/watch?v=NntF1iERRYc&list=PLcWg1WeHg9ug_0A7OaG8PSiF-qpy0WZ16,Bienvenidos a Cuba | Alan por el mundo 4K,https://www.youtube.com/watch?v=NntF1iERRYc&list=PLcWg1WeHg9ug_0A7OaG8PSiF-qpy0WZ16&index=1,"4,3 M",45.146
Cuánto cuesta?,https://www.youtube.com/watch?v=kn6DZoYM_JE&list=PLcWg1WeHg9uiT4HrFuuoGw6lj2_XBUVrb,¿Cuánto cuesta viajar a Rusia? | Alan por el mundo,https://www.youtube.com/watch?v=kn6DZoYM_JE&list=PLcWg1WeHg9uiT4HrFuuoGw6lj2_XBUVrb&index=1,204.389,4299
DURANGO,https://www.youtube.com/watch?v=ZgVV3_gbQzQ&list=PLcWg1WeHg9ugz_ErqxfshJPi75gIIzkHd,Como niños!! Durango #1,https://www.youtube.com/watch?v=ZgVV3_gbQzQ&list=PLcWg1WeHg9ugz_ErqxfshJPi75gIIzkHd&index=1,257.035,3852
Alan x el mundo - VIETNAM,https://www.youtube.com/watch?v=MKGXDTaHRoM&list=PLcWg1WeHg9ujCTUbPB89XX7y-i1FseX2M,5 cosas que debes saber de Vietnam - AXM Vietnam #1,https://www.youtube.com/watch?v=MKGXDTaHRoM&list=PLcWg1WeHg9ujCTUbPB89XX7y-i1FseX2M&index=1,520.269,3758
URUGUAY - AXM,https://www.youtube.com/watch?v=9bA9qPy05cU&list=PLcWg1WeHg9ujegyTa73R1SxaCGpTlBaEh,Me voy a Uruguay!!,https://www.youtube.com/watch?v=9bA9qPy05cU&list=PLcWg1WeHg9ujegyTa73R1SxaCGpTlBaEh&index=1,156.683,3742
Alan x el mundo - SEUL,https://www.youtube.com/watch?v=vcJp_JFqoUs&list=PLcWg1WeHg9ugrUQLcgpYoqqGEPK_A63WH,I Am The Best,https://www.youtube.com/watch?v=17uzFHu9Aso&list=PLcWg1WeHg9ugrUQLcgpYoqqGEPK_A63WH&index=5,301.918,3397
Conciertos,https://www.youtube.com/watch?v=y2KcEfSmD0E&list=PLcWg1WeHg9uj1b6QblJ0WHC2_RpAqZosv,Bruno Mars - Live in Québec,https://www.youtube.com/watch?v=y2KcEfSmD0E&list=PLcWg1WeHg9uj1b6QblJ0WHC2_RpAqZosv&index=1,12.058,332
EXCLUSIVO MIEMBROS,https://www.youtube.com/watch?v=OZMAagQGgNM&list=PLcWg1WeHg9uhrfkXR9MuztdoSPeoIA4-r,Primeras pistas de mi aventura secreta,https://www.youtube.com/watch?v=OZMAagQGgNM&list=PLcWg1WeHg9uhrfkXR9MuztdoSPeoIA4-r&index=1,hace,306
Gordos por el mundo,https://www.youtube.com/watch?v=DDv7CnE4log&list=PLcWg1WeHg9ugC_PplYsufERQ3aPziRI5P,Volví a Perú! Gordos x el mundo Lima | Alan por el mundo Perú #12,https://www.youtube.com/watch?v=DDv7CnE4log&list=PLcWg1WeHg9ugC_PplYsufERQ3aPziRI5P&index=1,973.895,29.758
